Formula,Volume,Density,IDs,Uncorrected EPA,EPA,Formation EPA,Equilibrium Reaction EPA,Atomic Density,Bulk Modulus,Shear Modulus,Sound Velocity,Thermal Conductivity,Debye Temperature (K)
Ca2 Mo2 N6,140.0983293035419,4.220453195637238,mp-989635,-12.890177564999998,-12.890177564999998,-0.790872534249999,-0.027710222474995,14.379397369332413,106.478,46.526,50.56448506513241,1.105656907832791,18206.66670923324
Na2 Cr2 N4,104.95173022022402,3.259294731983246,mp-1029407,-9.7399591,-9.7399591,-0.516203024374998,-0.085955507499999,13.560764665874371,87.392,88.233,116.66230678340584,1.673986864810213,46252.764951669145
Mg2 Si2 P4,166.4438551295536,2.28140300844787,mp-2961,-8.24965104125,-8.24965104125,-0.512845840238096,-0.078261097395834,21.18106850425236,72.206,34.75,51.75447608900608,0.993437457579162,17595.30203496888
Li2 P2 N4,73.79256507501633,2.967136015174295,mp-3524,-8.4374194775,-8.4374194775,-1.025848460535714,-0.361747019285715,9.516200549170115,135.35,100.508,145.2352568481016,2.452003583200571,64754.94097055195
Ca2 Al4 O8,144.6451688587642,3.628595409878917,mp-558636,-9.702551005,-9.702551005,-3.360747438571429,-0.046833666428572,10.626510401672158,152.027,89.116,103.08652408693176,1.9785754465794128,36725.91066851027
Na6 P2 S8,339.26043194597605,2.233918709253673,mp-28782,-7.5293601925,-7.5293601925,-1.050514326153274,-0.04395007375,22.03216518501716,22.958,10.928,7.821233486228854,0.5544593436420331,2097.237654455767
Mg4 B48 C2,406.5429782996535,2.614794391169,mp-568556,-7.362585808148148,-7.362585808148148,-0.155239767407408,-0.031134492407407,7.577898616622351,208.857,195.607,190.6796523447676,4.084894000493344,48137.58337038565
Y2 Cr2 C3,94.289440640773,5.597435852016634,mp-1025372,-14.714372191428572,-14.714372191428572,-0.340716152857144,-0.009354245892856,13.559068172612646,155.926,68.605,85.2308044936696,1.200137890682287,35019.75852731199
K2 C1 N2,89.68931948665201,2.188778911788782,mp-10408,-8.663545228,-8.663545228,-0.615292346999999,-0.421819941416666,18.67153069916651,31.342,14.596,16.708337605526363,0.7245841844741041,6980.56646074751
Ce2 Mo2 C3,106.24377697890267,7.942047569136657,mp-13263,-20.893447908571428,-20.893447908571428,-0.369601912857141,-0.073647253928569,15.2986905802945,136.107,81.553,84.65053655672578,0.991564951363334,33424.169777179144
Li4 U2 S6,239.1445246410618,4.8342604920146055,mp-15885,-19.83593900833333,-19.83593900833333,-1.6996788194618042,-0.044607034444414,19.71364120781549,42.596,25.019,16.99692912294078,0.5898783965226471,5121.085772670456
Nb2 Al2 O8,143.02161223622852,4.269971273146757,mp-27927,-12.244119976666669,-12.244119976666669,-3.018068712500001,-0.024418215416659,12.204835390904355,173.006,74.472,91.01614445002149,1.5510394671317291,32547.960083780345
